,Alue,Osoite,Hinta,Koko,Vuosi,Talotyyppi,Sauna,Parveke,Katu
759,Vuores,Isokuusenkatu 47 A 15,153890.0,43.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
760,Vuores,Isokuusenkatu 47 A 13,146890.0,42.0,2020.0,Kerrostalo,False,False,Isokuusenkatu
761,Ranta-Tampella,Tampellan esplanadi 19 A,318510.0,44.0,2020.0,Kerrostalo,False,False,Tampellan
762,Ranta-Tampella,Tampellan esplanadi 19 A,262760.0,36.0,2020.0,Kerrostalo,False,False,Tampellan
763,Ranta-Tampella,Tampellan esplanadi 19 A,294270.0,43.5,2020.0,Kerrostalo,False,False,Tampellan
764,Ranta-Tampella,Tampellan esplanadi 19 A,360200.0,47.5,2020.0,Kerrostalo,False,False,Tampellan
765,Lielahti,Teivaalantie 5 a A 12,197200.0,50.5,2020.0,Kerrostalo,False,False,Teivaalantie
766,Huikas,Ali-Huikkaantie 13a A 17,204900.0,49.5,2021.0,Kerrostalo,False,False,Ali-Huikkaantie
767,Huikas,Ali-Huikkaantie 13a A 23,172500.0,38.0,2021.0,Kerrostalo,False,False,Ali-Huikkaantie
768,Huikas,Ali-Huikkaantie 13a A 9,161200.0,38.0,2021.0,Kerrostalo,False,False,Ali-Huikkaantie
769,Huikas,Ali-Huikkaantie 13a B 31,204900.0,49.5,2021.0,Kerrostalo,False,False,Ali-Huikkaantie
770,Haukiluoma,Tyviraitti 1 A,145000.0,45.5,2020.0,Kerrostalo,False,False,Tyviraitti
771,Härmälä,Tarmonkuja 4 As 7,171300.0,41.0,2020.0,Kerrostalo,False,False,Tarmonkuja
772,Lielahti,Teivaalantie 5 a A 29,161400.0,35.5,2020.0,Kerrostalo,False,False,Teivaalantie
773,Lielahti,Teivaalantie 5 a A 06,208200.0,51.5,2020.0,Kerrostalo,True,False,Teivaalantie
774,Lielahti,Teivaalantie 5 a A 39,205400.0,50.5,2020.0,Kerrostalo,False,False,Teivaalantie
775,Lielahti,Teivaalantie 5 a A 38,164400.0,35.5,2020.0,Kerrostalo,False,False,Teivaalantie
776,Lielahti,Teivaalantie 5 a A 47,167400.0,35.5,2020.0,Kerrostalo,False,False,Teivaalantie
777,Lielahti,Teivaalantie 5 a A 32,213400.0,51.5,2020.0,Kerrostalo,True,False,Teivaalantie
778,Lielahti,Teivaalantie 5 a A 42,168400.0,38.0,2020.0,Kerrostalo,False,False,Teivaalantie
779,Lielahti,Teivaalantie 5 a A 04,197200.0,50.5,2020.0,Kerrostalo,False,False,Teivaalantie
780,Lielahti,Teivaalantie 5 a A 15,163200.0,38.0,2020.0,Kerrostalo,False,False,Teivaalantie
781,Lielahti,Teivaalantie 5 a A 23,210300.0,51.5,2020.0,Kerrostalo,True,False,Teivaalantie
782,Lielahti,Teivaalantie 5 a A 33,166400.0,38.0,2020.0,Kerrostalo,False,False,Teivaalantie
783,Lielahti,Teivaalantie 5 a A 03,157200.0,35.5,2020.0,Kerrostalo,False,False,Teivaalantie
784,Lielahti,Teivaalantie 5 a A 14,208200.0,51.5,2020.0,Kerrostalo,True,False,Teivaalantie
785,Vuores,Isokuusenkatu 47 B 49,139790.0,36.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
786,Takahuhti,Hanhenmäenkatu 1 B,208500.0,50.0,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
787,Muotiala,Ruopionkatu 8 A6,214500.0,48.5,2019.0,Kerrostalo,True,False,Ruopionkatu
788,Muotiala,Ruopionkatu 8 C43,240800.0,55.0,2019.0,Luhtitalo,True,False,Ruopionkatu
789,Muotiala,Ruopionkatu 8 C42,240800.0,55.0,2019.0,Luhtitalo,True,False,Ruopionkatu
790,Muotiala,Ruopionkatu 8 C25,231400.0,55.0,2019.0,Luhtitalo,True,False,Ruopionkatu
